trace,distribution,bin,count,fraction,threshold,fraction_at_or_above_threshold,variant
447.dealII-3B,confidence,14,0,0.0,8,,SetAssociativeWAM
447.dealII-3B,confidence,15,0,0.0,8,,SetAssociativeWAM
453.povray-576B,confidence,0,42,0.03592814371257485,8,0.0,DirectMappedWAM
453.povray-576B,confidence,1,1100,0.9409751924721984,8,0.0,DirectMappedWAM
453.povray-576B,confidence,2,25,0.0213857998289136,8,0.0,DirectMappedWAM
453.povray-576B,confidence,3,2,0.001710863986313088,8,0.0,DirectMappedWAM
453.povray-576B,confidence,4,0,0.0,8,0.0,DirectMappedWAM
453.povray-576B,confidence,5,0,0.0,8,0.0,DirectMappedWAM
453.povray-576B,confidence,6,0,0.0,8,0.0,DirectMappedWAM
453.povray-576B,confidence,7,0,0.0,8,0.0,DirectMappedWAM
453.povray-576B,confidence,8,0,0.0,8,0.0,DirectMappedWAM
453.povray-576B,confidence,9,0,0.0,8,0.0,DirectMappedWAM
453.povray-576B,confidence,10,0,0.0,8,0.0,DirectMappedWAM
453.povray-576B,confidence,11,0,0.0,8,0.0,DirectMappedWAM
453.povray-576B,confidence,12,0,0.0,8,0.0,DirectMappedWAM
453.povray-576B,confidence,13,0,0.0,8,0.0,DirectMappedWAM
453.povray-576B,confidence,14,0,0.0,8,0.0,DirectMappedWAM
453.povray-576B,confidence,15,0,0.0,8,0.0,DirectMappedWAM
453.povray-576B,confidence,0,4,0.013201320132013201,8,,SetAssociativeWAM
453.povray-576B,confidence,1,299,0.9867986798679867,8,,SetAssociativeWAM
453.povray-576B,confidence,2,0,0.0,8,,SetAssociativeWAM
453.povray-576B,confidence,3,0,0.0,8,,SetAssociativeWAM
453.povray-576B,confidence,4,0,0.0,8,,SetAssociativeWAM
453.povray-576B,confidence,5,0,0.0,8,,SetAssociativeWAM
453.povray-576B,confidence,6,0,0.0,8,,SetAssociativeWAM
453.povray-576B,confidence,7,0,0.0,8,,SetAssociativeWAM
453.povray-576B,confidence,8,0,0.0,8,,SetAssociativeWAM
453.povray-576B,confidence,9,0,0.0,8,,SetAssociativeWAM
453.povray-576B,confidence,10,0,0.0,8,,SetAssociativeWAM
453.povray-576B,confidence,11,0,0.0,8,,SetAssociativeWAM
453.povray-576B,confidence,12,0,0.0,8,,SetAssociativeWAM
453.povray-576B,confidence,13,0,0.0,8,,SetAssociativeWAM
453.povray-576B,confidence,14,0,0.0,8,,SetAssociativeWAM
453.povray-576B,confidence,15,0,0.0,8,,SetAssociativeWAM
454.calculix-104B,confidence,0,0,0.0,8,not_applicable,DirectMappedWAM
454.calculix-104B,confidence,1,0,0.0,8,not_applicable,DirectMappedWAM
454.calculix-104B,confidence,2,0,0.0,8,not_applicable,DirectMappedWAM
454.calculix-104B,confidence,3,0,0.0,8,not_applicable,DirectMappedWAM
454.calculix-104B,confidence,4,0,0.0,8,not_applicable,DirectMappedWAM
454.calculix-104B,confidence,5,0,0.0,8,not_applicable,DirectMappedWAM
454.calculix-104B,confidence,6,0,0.0,8,not_applicable,DirectMappedWAM
