workload,selector,granularity,windows,speedup,selected_gmc_fraction,selected_wam_fraction,selector_bytes,lookup_cycles,update_traffic,overhead_cycles,wam_activation_rate,selection_note
linked_list_size65536_seed1_loads,ConfidenceSelector,100,3,4.014272970561998,1.0,0.0,192,30,60,30,0.0,block-granular replay
linked_list_size65536_seed2_loads,ConfidenceSelector,100,3,4.014272970561998,1.0,0.0,192,30,60,30,0.0,block-granular replay
linked_list_size65536_seed3_loads,ConfidenceSelector,100,3,4.014272970561998,1.0,0.0,192,30,60,30,0.0,block-granular replay
linked_list_size65536_seed4_loads,ConfidenceSelector,100,3,4.014272970561998,1.0,0.0,192,30,60,30,0.0,block-granular replay
matrix_scan_size512_seed0_loads,ConfidenceSelector,100,3,2.271799060649377,1.0,0.0,192,30,60,30,0.0,block-granular replay
pointer_chase_size65536_seed0_loads,ConfidenceSelector,100,3,1.3316224057130104,0.0,1.0,192,30,60,30,1.0,block-granular replay
pointer_chase_size65536_seed1_loads,ConfidenceSelector,100,3,1.3316224057130104,0.0,1.0,192,30,60,30,1.0,block-granular replay
pointer_chase_size65536_seed2_loads,ConfidenceSelector,100,3,1.4883985996906293,0.0,1.0,192,30,60,30,1.0,block-granular replay
pointer_chase_size65536_seed3_loads,ConfidenceSelector,100,3,1.3365527870536862,1.0,0.0,192,30,60,30,0.0,block-granular replay
pointer_chase_size65536_seed4_loads,ConfidenceSelector,100,3,2.3981451046932047,0.0,1.0,192,30,60,30,1.0,block-granular replay
quicksort_size65536_seed0_loads,ConfidenceSelector,100,3,0.9993688282602057,0.0,1.0,192,30,60,30,1.0,block-granular replay
quicksort_size65536_seed1_loads,ConfidenceSelector,100,3,0.9993688282602057,0.0,1.0,192,30,60,30,1.0,block-granular replay
quicksort_size65536_seed2_loads,ConfidenceSelector,100,3,1.9665410159755878,1.0,0.0,192,30,60,30,0.0,block-granular replay
quicksort_size65536_seed3_loads,ConfidenceSelector,100,3,1.4177025110536414,1.0,0.0,192,30,60,30,0.0,block-granular replay
quicksort_size65536_seed4_loads,ConfidenceSelector,100,3,1.2199836443387109,1.0,0.0,192,30,60,30,0.0,block-granular replay
stride_size524288_seed0_loads,ConfidenceSelector,100,3,7.210412960014983,1.0,0.0,192,30,60,30,0.0,block-granular replay
binary_tree_size65536_seed0_loads,RecentWinnerSelector,100,3,1.2057987141444115,0.3333333333333333,0.6666666666666666,192,30,60,30,0.6666666666666666,block-granular replay
binary_tree_size65536_seed1_loads,RecentWinnerSelector,100,3,1.2057987141444115,0.3333333333333333,0.6666666666666666,192,30,60,30,0.6666666666666666,block-granular replay
binary_tree_size65536_seed2_loads,RecentWinnerSelector,100,3,1.0504717517335456,0.3333333333333333,0.6666666666666666,192,30,60,30,0.6666666666666666,block-granular replay
binary_tree_size65536_seed3_loads,RecentWinnerSelector,100,3,1.0245024237711562,0.3333333333333333,0.6666666666666666,192,30,60,30,0.6666666666666666,block-granular replay
binary_tree_size65536_seed4_loads,RecentWinnerSelector,100,3,1.061182178176767,0.3333333333333333,0.6666666666666666,192,30,60,30,0.6666666666666666,block-granular replay
graph_bfs_size65536_seed0_loads,RecentWinnerSelector,100,3,1.183865642376528,0.6666666666666666,0.3333333333333333,192,30,60,30,0.3333333333333333,block-granular replay
graph_bfs_size65536_seed1_loads,RecentWinnerSelector,100,3,1.183865642376528,0.6666666666666666,0.3333333333333333,192,30,60,30,0.3333333333333333,block-granular replay
graph_bfs_size65536_seed2_loads,RecentWinnerSelector,100,3,1.183865642376528,0.6666666666666666,0.3333333333333333,192,30,60,30,0.3333333333333333,block-granular replay
graph_bfs_size65536_seed3_loads,RecentWinnerSelector,100,3,1.183865642376528,0.6666666666666666,0.3333333333333333,192,30,60,30,0.3333333333333333,block-granular replay
graph_bfs_size65536_seed4_loads,RecentWinnerSelector,100,3,1.183865642376528,0.6666666666666666,0.3333333333333333,192,30,60,30,0.3333333333333333,block-granular replay
graph_dfs_size16384_seed0_loads,RecentWinnerSelector,100,3,1.017811750384877,0.6666666666666666,0.3333333333333333,192,30,60,30,0.3333333333333333,block-granular replay
graph_dfs_size16384_seed1_loads,RecentWinnerSelector,100,3,1.017811750384877,0.6666666666666666,0.3333333333333333,192,30,60,30,0.3333333333333333,block-granular replay
graph_dfs_size16384_seed2_loads,RecentWinnerSelector,100,3,1.017811750384877,0.6666666666666666,0.3333333333333333,192,30,60,30,0.3333333333333333,block-granular replay
graph_dfs_size16384_seed3_loads,RecentWinnerSelector,100,3,1.017811750384877,0.6666666666666666,0.3333333333333333,192,30,60,30,0.3333333333333333,block-granular replay
graph_dfs_size16384_seed4_loads,RecentWinnerSelector,100,3,1.017811750384877,0.6666666666666666,0.3333333333333333,192,30,60,30,0.3333333333333333,block-granular replay
hash_table_size65536_seed0_loads,RecentWinnerSelector,100,3,0.9998224062431816,0.6666666666666666,0.3333333333333333,192,30,60,30,0.3333333333333333,block-granular replay
hash_table_size65536_seed1_loads,RecentWinnerSelector,100,3,0.9998224062431816,0.6666666666666666,0.3333333333333333,192,30,60,30,0.3333333333333333,block-granular replay
hash_table_size65536_seed2_loads,RecentWinnerSelector,100,3,0.9996486368126776,0.3333333333333333,0.6666666666666666,192,30,60,30,0.6666666666666666,block-granular replay
hash_table_size65536_seed3_loads,RecentWinnerSelector,100,3,0.9995765666400436,1.0,0.0,192,30,60,30,0.0,block-granular replay
hash_table_size65536_seed4_loads,RecentWinnerSelector,100,3,0.9998539079620161,1.0,0.0,192,30,60,30,0.0,block-granular replay
linked_list_size65536_seed0_loads,RecentWinnerSelector,100,3,4.014272970561998,1.0,0.0,192,30,60,30,0.0,block-granular replay
linked_list_size65536_seed1_loads,RecentWinnerSelector,100,3,4.014272970561998,1.0,0.0,192,30,60,30,0.0,block-granular replay
linked_list_size65536_seed2_loads,RecentWinnerSelector,100,3,4.014272970561998,1.0,0.0,192,30,60,30,0.0,block-granular replay
linked_list_size65536_seed3_loads,RecentWinnerSelector,100,3,4.014272970561998,1.0,0.0,192,30,60,30,0.0,block-granular replay
linked_list_size65536_seed4_loads,RecentWinnerSelector,100,3,4.014272970561998,1.0,0.0,192,30,60,30,0.0,block-granular replay
matrix_scan_size512_seed0_loads,RecentWinnerSelector,100,3,2.271799060649377,1.0,0.0,192,30,60,30,0.0,block-granular replay
pointer_chase_size65536_seed0_loads,RecentWinnerSelector,100,3,1.122161450579072,1.0,0.0,192,30,60,30,0.0,block-granular replay
pointer_chase_size65536_seed1_loads,RecentWinnerSelector,100,3,1.122161450579072,1.0,0.0,192,30,60,30,0.0,block-granular replay
pointer_chase_size65536_seed2_loads,RecentWinnerSelector,100,3,1.0766467418509467,1.0,0.0,192,30,60,30,0.0,block-granular replay
pointer_chase_size65536_seed3_loads,RecentWinnerSelector,100,3,1.3365527870536862,1.0,0.0,192,30,60,30,0.0,block-granular replay
pointer_chase_size65536_seed4_loads,RecentWinnerSelector,100,3,1.2862452114581944,0.6666666666666666,0.3333333333333333,192,30,60,30,0.3333333333333333,block-granular replay
