workload,predictor,budget_bytes,storage_bytes,accuracy,speedup,coverage,within_budget,category,horizon,train_fraction,trace_length,prefetch_precision,late_prefetch_rate,mean_lead_time,mean_slack,cache_pollution,bandwidth_bytes,average_memory_latency,total_cycles,cycles_hidden,predictor_overhead,fraction_of_ideal_gain,prediction_attempts,wrong_predictions
graph_dfs_size16384_seed0_loads,GMC,2048,2048,0.5,1.0011488750598372,0.0013333333333333333,True,graph,16,0.7,5000,0.5,0.0,1537.0,1387.0,0,16,83.56,125340,146,0,0.23212853272108386,2,1
graph_dfs_size16384_seed0_loads,HashedContext-H16,4096,4224,0.0033692722371967657,1.0157604604288595,0.2833333333333333,True,graph,16,0.7,5000,0.11529411764705882,0.04081632653061224,2234.9795918367345,2084.9795918367345,64,3400,82.358,123537,6937,0,3.1843780775242188,1484,1479
graph_dfs_size16384_seed0_loads,Markov-N-H16,4096,4096,0.04,0.9999760931411222,0.002,True,graph,16,0.7,5000,0.0,0.0,0.0,0.0,2,24,83.658,125487,0,0,0.0,25,24
graph_dfs_size16384_seed0_loads,VLDP,4096,4096,0.0,1.0,0.0,True,graph,16,0.7,5000,0.0,0.0,0.0,0.0,0,0,83.656,125484,0,0,0.0,0,0
graph_dfs_size16384_seed0_loads,SPP,4096,4096,0.0,1.0,0.0,True,graph,16,0.7,5000,0.0,0.0,0.0,0.0,0,0,83.656,125484,0,0,0.0,0,0
graph_dfs_size16384_seed0_loads,GMC,4096,4096,0.7777777777777778,1.0084301040703982,0.006,True,graph,16,0.7,5000,0.8888888888888888,0.0,2017.875,1867.875,0,72,82.95666666666666,124435,1168,0,1.7032902505733751,9,2
graph_dfs_size16384_seed0_loads,HashedContext-H16,8192,8320,0.0026954177897574125,1.0221563324753185,0.344,True,graph,16,0.7,5000,0.10465116279069768,0.0,2363.259259259259,2213.259259259259,92,4128,81.84266666666667,122764,7884,0,4.476654710134487,1484,1480
graph_dfs_size16384_seed0_loads,Markov-N-H16,8192,8192,0.023255813953488372,1.001348601524159,0.010666666666666666,True,graph,16,0.7,5000,0.125,0.5,689.0,539.0,7,128,83.54333333333334,125315,283,0,0.27248297397353466,43,42
graph_dfs_size16384_seed0_loads,VLDP,8192,8192,0.0,1.0,0.0,True,graph,16,0.7,5000,0.0,0.0,0.0,0.0,0,0,83.656,125484,0,0,0.0,0,0
graph_dfs_size16384_seed0_loads,SPP,8192,8192,0.0,1.0,0.0,True,graph,16,0.7,5000,0.0,0.0,0.0,0.0,0,0,83.656,125484,0,0,0.0,0,0
graph_dfs_size16384_seed0_loads,GMC,8192,8192,0.5238095238095238,1.0130952188726163,0.013333333333333334,True,graph,16,0.7,5000,0.6,0.0,1830.1666666666667,1680.1666666666667,7,160,82.57466666666667,123862,1752,0,2.645869902505033,21,10
graph_dfs_size16384_seed0_loads,HashedContext-H16,16384,16512,0.002099370188943317,1.0101998921242663,0.404,True,graph,16,0.7,5000,0.066006600660066,0.025,2290.95,2140.95,122,4848,82.81133333333334,124217,5779,0,2.0608733494961755,1429,1426
graph_dfs_size16384_seed0_loads,Markov-N-H16,16384,16384,0.011363636363636364,1.001908259810771,0.02266666666666667,True,graph,16,0.7,5000,0.17647058823529413,0.16666666666666666,1349.3333333333333,1199.3333333333333,14,272,83.49666666666667,125245,867,0,0.385561115747122,88,87
graph_dfs_size16384_seed0_loads,VLDP,16384,16384,0.0,1.0,0.0,True,graph,16,0.7,5000,0.0,0.0,0.0,0.0,0,0,83.656,125484,0,0,0.0,0,0
